States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Maharashtra,,Total Pulses,1971-1972,2080.00,643.00,309
Meghalaya,,Total Pulses,1971-1972,1.00,1.00,1000
Mizoram,,Total Pulses,1971-1972,1.00,-,-
Odisha,,Total Pulses,1971-1972,861.00,390.00,453
Punjab,,Total Pulses,1971-1972,385.00,305.00,793
Rajasthan,,Total Pulses,1971-1972,3704.00,1318.00,356
Tamil Nadu,,Total Pulses,1971-1972,525.00,154.00,293
Tripura,,Total Pulses,1971-1972,3.00,1.00,333
Uttar Pradesh,,Total Pulses,1971-1972,3525.00,2920.00,828
West Bengal,,Total Pulses,1971-1972,597.00,317.00,531
India,,Total Pulses,1971-1972,22151.00,11094.00,501
Andhra Pradesh,,Total Pulses,1972-1973,1344.00,299.00,222
Assam,,Total Pulses,1972-1973,98.00,48.00,489
Bihar,,Total Pulses,1972-1973,1475.00,656.00,445
